Unnamed: 0,Ideas/Concepts/Examples,Description,Theme,Use Case,Status/Maturity,Disaster Cycle,Technology,Disaster Type,Region,Subregion,Country of Implementation,Supporting Partners,Un Host Organisation,Data,SDG,Date of Implementation,Source,imgurl
152,Everimpact,"Measuring, identifying and monetising carbon emissions reductions & carbon sequestration","Environment, Pollution",Situational awareness/actionable information gathering,production,preparedness,"Big Data, Geographical Information Systems",Various,Global,Global,Global,"European Commission (Climate KiC, EIT Climate Urban Mobility, Horizon 2020), Asian Development Bank, CNES (French Space Agency), Google SDG start-up accelerator, City Finance Lab and South Pole, BT (British Telecom), EDF (Utility group)",UNDP,"Spatial Data, Sensor Data","SDG 7, SDG 11, SDG 12, SDG 13",2021,https://www.everimpact.com/,"https://static.wixstatic.com/media/248e25_b24686bcd8634607ba226c3345185ea0f000.jpg/v1/fill/w_1280,h_428,al_c,q_85,usm_0.33_1.00_0.00,enc_auto/248e25_b24686bcd8634607ba226c3345185ea0f000.jpg"
153,Everimpact,"Measuring, identifying and monetising carbon emissions reductions & carbon sequestration","Environment, Pollution",Situational awareness/actionable information gathering,production,mitigation,"Big Data, Geographical Information Systems",Various,Global,Global,Global,"European Commission (Climate KiC, EIT Climate Urban Mobility, Horizon 2020), Asian Development Bank, CNES (French Space Agency), Google SDG start-up accelerator, City Finance Lab and South Pole, BT (British Telecom), EDF (Utility group)",UNDP,"Spatial Data, Sensor Data","SDG 7, SDG 11, SDG 12, SDG 13",2021,https://www.everimpact.com/,"https://static.wixstatic.com/media/248e25_b24686bcd8634607ba226c3345185ea0f000.jpg/v1/fill/w_1280,h_428,al_c,q_85,usm_0.33_1.00_0.00,enc_auto/248e25_b24686bcd8634607ba226c3345185ea0f000.jpg"
154,FloodMapp,Real-time flood modelling solution for flood forecasting and emergency management,"Disaster Risk Management, Mitigation",Disaster Risk Management,production,preparedness,Geographical Information Systems,Floods,Americas,Northern America,United States of America,"H2 Ventures Accelerator, River City Labs Accelerator, Joules Accelerator, Rise accelerator (George Washington University)",UNDP,Spatial Data,SDG 13,2021,https://www.floodmapp.com/,"https://static.wixstatic.com/media/b1adb2_38c3ab055ac1431d8a4b4b72ca049476~mv2.png/v1/crop/x_29,y_0,w_1250,h_375/fill/w_225,h_69,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/FloodMapp_TextBesideLogo.png"
155,FloodMapp,Real-time flood modelling solution for flood forecasting and emergency management,"Disaster Risk Management, Mitigation",Disaster Risk Management,production,recovery,Geographical Information Systems,Floods,Americas,Northern America,United States of America,"H2 Ventures Accelerator, River City Labs Accelerator, Joules Accelerator, Rise accelerator (George Washington University)",UNDP,Spatial Data,SDG 13,2021,https://www.floodmapp.com/,"https://static.wixstatic.com/media/b1adb2_38c3ab055ac1431d8a4b4b72ca049476~mv2.png/v1/crop/x_29,y_0,w_1250,h_375/fill/w_225,h_69,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/FloodMapp_TextBesideLogo.png"
156,FloodMapp,Real-time flood modelling solution for flood forecasting and emergency management,"Disaster Risk Management, Mitigation",Disaster Risk Management,production,response,Geographical Information Systems,Floods,Americas,Northern America,United States of America,"H2 Ventures Accelerator, River City Labs Accelerator, Joules Accelerator, Rise accelerator (George Washington University)",UNDP,Spatial Data,SDG 13,2021,https://www.floodmapp.com/,"https://static.wixstatic.com/media/b1adb2_38c3ab055ac1431d8a4b4b72ca049476~mv2.png/v1/crop/x_29,y_0,w_1250,h_375/fill/w_225,h_69,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/FloodMapp_TextBesideLogo.png"
157,FloodMapp,Real-time flood modelling solution for flood forecasting and emergency management,"Disaster Risk Management, Mitigation",Disaster Risk Management,production,mitigation,Geographical Information Systems,Floods,Americas,Northern America,United States of America,"H2 Ventures Accelerator, River City Labs Accelerator, Joules Accelerator, Rise accelerator (George Washington University)",UNDP,Spatial Data,SDG 13,2021,https://www.floodmapp.com/,"https://static.wixstatic.com/media/b1adb2_38c3ab055ac1431d8a4b4b72ca049476~mv2.png/v1/crop/x_29,y_0,w_1250,h_375/fill/w_225,h_69,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/FloodMapp_TextBesideLogo.png"
158,FASSSTER,FASSSTER is a now casting and forecasting tool that supports creation of policies and guidelines in the management of a disease outbreak/pandemic,"Disaster Risk Management, Early Warning ",Early Warning System,production,preparedness,Data Collection,Pandemic/Epidemic,Asia,South-eastern Asia,Philippines,"Department of Sciencec and Technology, PhilippinesDepartment of Health, Philippines",UNDP,"Numerical Data, Text Data",SDG 3,2022,https://fassster.ehealth.ph/covid19/,https://fassster.ehealth.ph/covid19/assets/img/fassster-logo.png
159,FASSSTER,FASSSTER is a now casting and forecasting tool that supports creation of policies and guidelines in the management of a disease outbreak/pandemic,"Disaster Risk Management, Early Warning ",Early Warning System,production,mitigation,Data Collection,Pandemic/Epidemic,Asia,South-eastern Asia,Philippines,"Department of Sciencec and Technology, PhilippinesDepartment of Health, Philippines",UNDP,"Numerical Data, Text Data",SDG 3,2022,https://fassster.ehealth.ph/covid19/,https://fassster.ehealth.ph/covid19/assets/img/fassster-logo.png
160,OroraTech,Global early wildfire detection and real-time monitoring from space,"Disaster Risk Management, Mitigation",Early Warning System,production,preparedness,Geographical Information Systems,Wildfires,Global,Global,Global,"Google for Startups for SDG, Samsung for Impact, Plug and play Brazil accelerator, ESA Business Incubation Centre Bavaria, German accelerator Silicon Valley, Telecom tech boost",UNDP,Spatial Data,SDG 15,2022,https://ororatech.com/,https://868744.smushcdn.com/2595673/wp-content/uploads/2022/01/mockup-multiple-device-ororatech-wildfire-monitoring-service-768x432.png?lossy=0&strip=1&webp=1
161,OroraTech,Global early wildfire detection and real-time monitoring from space,"Disaster Risk Management, Mitigation",Early Warning System,production,recovery,Geographical Information Systems,Wildfires,Global,Global,Global,"Google for Startups for SDG, Samsung for Impact, Plug and play Brazil accelerator, ESA Business Incubation Centre Bavaria, German accelerator Silicon Valley, Telecom tech boost",UNDP,Spatial Data,SDG 15,2022,https://ororatech.com/,https://868744.smushcdn.com/2595673/wp-content/uploads/2022/01/mockup-multiple-device-ororatech-wildfire-monitoring-service-768x432.png?lossy=0&strip=1&webp=1
162,OroraTech,Global early wildfire detection and real-time monitoring from space,"Disaster Risk Management, Mitigation",Early Warning System,production,response,Geographical Information Systems,Wildfires,Global,Global,Global,"Google for Startups for SDG, Samsung for Impact, Plug and play Brazil accelerator, ESA Business Incubation Centre Bavaria, German accelerator Silicon Valley, Telecom tech boost",UNDP,Spatial Data,SDG 15,2022,https://ororatech.com/,https://868744.smushcdn.com/2595673/wp-content/uploads/2022/01/mockup-multiple-device-ororatech-wildfire-monitoring-service-768x432.png?lossy=0&strip=1&webp=1
163,OroraTech,Global early wildfire detection and real-time monitoring from space,"Disaster Risk Management, Mitigation",Early Warning System,production,mitigation,Geographical Information Systems,Wildfires,Global,Global,Global,"Google for Startups for SDG, Samsung for Impact, Plug and play Brazil accelerator, ESA Business Incubation Centre Bavaria, German accelerator Silicon Valley, Telecom tech boost",UNDP,Spatial Data,SDG 15,2022,https://ororatech.com/,https://868744.smushcdn.com/2595673/wp-content/uploads/2022/01/mockup-multiple-device-ororatech-wildfire-monitoring-service-768x432.png?lossy=0&strip=1&webp=1
164,Thinking Machines Data Science,"Helping organizations restore nature and reduce poverty by using geospatial data, AI, and earth observation data","Inclusive Growth, Climate",Situational awareness/actionable information gathering,production,mitigation,Geographical Information Systems,Various,Asia,South-eastern Asia,Singapore,"UNICEF Innovation Fund, UNICEF Venture Fund, Conservation International",UNDP,Spatial Data,SDG 1,2022,https://thinkingmachin.es/,https://site-assets.plasmic.app/711376e3970b1a53504e099b2f687079.jpg
165,Beacon,Emergency dispatch platform for local responders,Disaster Risk Management,Disaster Risk Management,production,recovery,Mobile App,Various,Global,Global,Global,"MIT Solve Unbundle Policing Accelerator, USAID, Google, World Bank, Cisco, Twilio, PagerDuty, NewRelic, CRC, US Coast Guard, NetHope",None,"Mobile Network Data, Spatial Data",SDG 3,2022,https://www.trekmedics.org/beacon/,"https://media.trekmedics.org/uploads/2021/03/laptop-dashboard-beacon-emergency-dispatch-platform.jpg?strip=all&lossy=1&ssl=1&fit=555,340"
166,Beacon,Emergency dispatch platform for local responders,Disaster Risk Management,Disaster Risk Management,production,response,Mobile App,Various,Global,Global,Global,"MIT Solve Unbundle Policing Accelerator, USAID, Google, World Bank, Cisco, Twilio, PagerDuty, NewRelic, CRC, US Coast Guard, NetHope",None,"Mobile Network Data, Spatial Data",SDG 3,2022,https://www.trekmedics.org/beacon/,"https://media.trekmedics.org/uploads/2021/03/laptop-dashboard-beacon-emergency-dispatch-platform.jpg?strip=all&lossy=1&ssl=1&fit=555,340"
167,Humanitarian OpenStreeMap Team,Tasking Manager is used to crowdsource mapping data for areas around the world where data is needed to help save or improve lives,Inclusive Growth,Situational awareness/actionable information gathering,production,preparedness,Geographical Information Systems,Various,Global,Global,Global,"USAID, Global Fund for Disaster Reduction and Recovery (GFDRR), SwissRE Foundation",None,Spatial Data,SDG 10,2022,https://tasks.hotosm.org/,https://tasks.hotosm.org/static/media/main-logo.c0ba68c8.svg
168,Sealr,"Using AI, blockchain, and geotagging to help organizations track and verify delivery of aid and monitor and verify project outputs",Disaster Risk Management,Disaster Relief logistic/resource allocation ,production,response,"Artificial Intelligence, Blockchain, Geographical Information Systems",Various,Global,Global,Global,"UNDP Niger, Humanitarian Grand Challenges, UK Aid, Aid Pioneers, Palladium",UNDP,Spatial Data,"SDG 1, SDG 2, SDG 3",2021,https://www.sealr.app/,https://www.sealr.app/images/home/iPhoneSeal1_2x.png
169,Sealr,"Using AI, blockchain, and geotagging to help organizations track and verify delivery of aid and monitor and verify project outputs",Disaster Risk Management,Disaster Relief logistic/resource allocation ,production,mitigation,"Artificial Intelligence, Blockchain, Geographical Information Systems",Various,Global,Global,Global,"UNDP Niger, Humanitarian Grand Challenges, UK Aid, Aid Pioneers, Palladium",UNDP,Spatial Data,"SDG 1, SDG 2, SDG 3",2021,https://www.sealr.app/,https://www.sealr.app/images/home/iPhoneSeal1_2x.png
170,Zzapp Malaria,"AI for planning, executing, and monitoring of large-scale, cost-effective anti-malaria operations",Disaster Risk Management,Disaster Relief logistic/resource allocation ,production,recovery,"Artificial Intelligence, Big Data",Pandemic/Epidemic,Global,Global,Global,"IBM Watson, Cisco, Google for Startups SDGs",UNDP,"Spatial Data, Numerical Data",SDG 3,2018,https://www.zzappmalaria.com/,"https://static.wixstatic.com/media/eb15a6_4a38e0280d90489c83737b3864d6422c~mv2.png/v1/fill/w_468,h_297,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/zzapp_laptop_system_500x500.png"
171,Zzapp Malaria,"AI for planning, executing, and monitoring of large-scale, cost-effective anti-malaria operations",Disaster Risk Management,Disaster Relief logistic/resource allocation ,production,response,"Artificial Intelligence, Big Data",Pandemic/Epidemic,Global,Global,Global,"IBM Watson, Cisco, Google for Startups SDGs",UNDP,"Spatial Data, Numerical Data",SDG 3,2018,https://www.zzappmalaria.com/,"https://static.wixstatic.com/media/eb15a6_4a38e0280d90489c83737b3864d6422c~mv2.png/v1/fill/w_468,h_297,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/zzapp_laptop_system_500x500.png"
172,MobileAid,Using geo-targeting and machine learning to deliver relief to society's most vulnerable groups,Disaster Mitigation,Disaster Relief logistic/resource allocation ,production,response,"Machine Learning, Geographical Information Systems",Various,Africa,Eastern Africa,Malawi,"UNDP Bangladesh /a2i, World Bank, Center for Effective Global Action (CEGA), USAID, Google.org, Government of Togo, Fonds Social de la Republique Democratique du Congo (Social Fund of the Democratic Republic of Cong",UNDP,Mobile Network Data,SDG 1,2022,https://www.givedirectly.org/,https://www.givedirectly.org/wp-content/uploads/2021/07/Transfer-Withdrawal-scaled-1-705x469.jpeg
173,MobileAid,Using geo-targeting and machine learning to deliver relief to society's most vulnerable groups,Disaster Mitigation,Disaster Relief logistic/resource allocation ,production,mitigation,"Machine Learning, Geographical Information Systems",Various,Africa,Eastern Africa,Malawi,"UNDP Bangladesh /a2i, World Bank, Center for Effective Global Action (CEGA), USAID, Google.org, Government of Togo, Fonds Social de la Republique Democratique du Congo (Social Fund of the Democratic Republic of Cong",UNDP,Mobile Network Data,SDG 1,2022,https://www.givedirectly.org/,https://www.givedirectly.org/wp-content/uploads/2021/07/Transfer-Withdrawal-scaled-1-705x469.jpeg
174,Aselo,Modernizing processes of crisis response helplines,Disaster Mitigation,Disaster Relief logistic/resource allocation ,production,response,Mobile App,Various,Americas,Caribbean,Jamacia,"One Family Foundation, Child Helpline International, the End Violence Fund, Twilio.org, Schmidt Futures, Facebook and the Jenesis Group",UNDP,None,"SDG 1, SDG 10",2022,https://aselo.org/,https://aselo.org/wp-content/uploads/2021/03/helpline-operator.jpg
175,D-MOSS,Dengue fever early warning system,"Disaster Risk Management, Early Warning ",Early Warning System,production,preparedness,"Data Collection, Web mapping",Pandemic/Epidemic,Asia,Southern Asia,Sri Lanka,"UNDP Vietnam, UK Space Agency's International Partnership Programme",UNDP,Numerical Data,SDG 3,2022,https://www.hrwallingford.com/projects/d-moss-dengue-forecasting-model-satellite-based-system,https://www.hrwallingford.com/themes/custom/hrwallingford/logo.png
176,Ignitia,Climate-smart decision-making through accurate weather forecasts and agricultural advisory,"Climate, Inclusive Growth",Situational awareness/actionable information gathering ,production,preparedness,"Artificial Intelligence, Big Data",Various,Global,Global,Global,"Novastar, IKEA Social Entrepreneurship, HACK VC, FINCA Ventures, Norrsken Foundation, USDIV, Achmea Accelerator, WE4F",UNDP,Spatial Data,"SDG 13, SDG 15",2022,https://www.ignitia.se/,"https://static.wixstatic.com/media/11062b_af392b5325e7416eb2d8b6f9b1b3c634f000.jpg/v1/fill/w_1903,h_700,al_c,q_85,usm_0.33_1.00_0.00,enc_auto/11062b_af392b5325e7416eb2d8b6f9b1b3c634f000.jpg"
177,Ignitia,Climate-smart decision-making through accurate weather forecasts and agricultural advisory,"Climate, Inclusive Growth",Situational awareness/actionable information gathering ,production,mitigation,"Artificial Intelligence, Big Data",Various,Global,Global,Global,"Novastar, IKEA Social Entrepreneurship, HACK VC, FINCA Ventures, Norrsken Foundation, USDIV, Achmea Accelerator, WE4F",UNDP,Spatial Data,"SDG 13, SDG 15",2022,https://www.ignitia.se/,"https://static.wixstatic.com/media/11062b_af392b5325e7416eb2d8b6f9b1b3c634f000.jpg/v1/fill/w_1903,h_700,al_c,q_85,usm_0.33_1.00_0.00,enc_auto/11062b_af392b5325e7416eb2d8b6f9b1b3c634f000.jpg"
178,Global Forest Watch,Online platform that provides data and tools for monitoring forests and emerging risks to ecosystems,Environment,Situational awareness/actionable information gathering,production,preparedness,"Geographical Information Systems, Big Data",Various,Global,Global,Global,USAID,UNEP,Spatial Data,SDG 15,2019,https://www.globalforestwatch.org/,https://www.globalforestwatch.org/assets/gfw.png
179,Landslide Detection Squad,Early warning of landslide events is critical to inform at-risk communities and emergency response,Early Warning,Early Warning System,prototype,mitigation,"Artificial Intelligence, Machine Learning",Landslide,Oceania,Australia and New Zealand,Australia,NASA,None,"Sensor Data, Spatial Data","SDG 13, SDG 15",2021,https://github.com/rociopey/landslidedetectionsquad,https://images.spaceappschallenge.org/team-photos/UOY09ZXi7AP3uxYyyeqyeDInBi4=/28136/fill-591x300/
180,Landslide Detection Squad,Early warning of landslide events is critical to inform at-risk communities and emergency response,Early Warning,Early Warning System,prototype,preparedness,"Artificial Intelligence, Machine Learning",Landslide,Oceania,Australia and New Zealand,Australia,NASA,None,"Sensor Data, Spatial Data","SDG 13, SDG 15",2021,https://github.com/rociopey/landslidedetectionsquad,https://images.spaceappschallenge.org/team-photos/UOY09ZXi7AP3uxYyyeqyeDInBi4=/28136/fill-591x300/
181,SDGs Today,Production and use of real-time and timely geo-referenced data for the SDGs,Disaster Risk Management,Situational awareness/actionable information gathering,production,preparedness,"Artificial Intelligence, Geographical Information Systems",Various,Global,Global,Global,United Nations Sustainable Development Solutions Network,UNDP,Spatial Data,"SDG 13, SDG 15, SDG 16",2020,https://sdgstoday.org/dataset-hub,https://www.unsdsn-ne.org/wp-content/uploads/2020/08/sdgstoday_cover.png
182,SDGs Today,Production and use of real-time and timely geo-referenced data for the SDGs,Disaster Risk Management,Situational awareness/actionable information gathering,production,response,"Artificial Intelligence, Geographical Information Systems",Various,Global,Global,Global,United Nations Sustainable Development Solutions Network,UNDP,Spatial Data,"SDG 13, SDG 15, SDG 16",2021,https://sdgstoday.org/dataset-hub,https://www.unsdsn-ne.org/wp-content/uploads/2020/08/sdgstoday_cover.png
183,SDGs Today,Production and use of real-time and timely geo-referenced data for the SDGs,Disaster Risk Management,Situational awareness/actionable information gathering,production,mitigation,"Artificial Intelligence, Geographical Information Systems",Various,Global,Global,Global,United Nations Sustainable Development Solutions Network,UNDP,Spatial Data,"SDG 13, SDG 15, SDG 16",2022,https://sdgstoday.org/dataset-hub,https://www.unsdsn-ne.org/wp-content/uploads/2020/08/sdgstoday_cover.png
184,SDGs Today,Production and use of real-time and timely geo-referenced data for the SDGs,Disaster Risk Management,Situational awareness/actionable information gathering,production,recovery,"Artificial Intelligence, Geographical Information Systems",Various,Global,Global,Global,United Nations Sustainable Development Solutions Network,UNDP,Spatial Data,"SDG 13, SDG 15, SDG 16",2023,https://sdgstoday.org/dataset-hub,https://www.unsdsn-ne.org/wp-content/uploads/2020/08/sdgstoday_cover.png
185,Aqueduct Global Flood Risk Maps,"Provides current and future river flood risk estimates in urban damage, affected GDP, and affected population by country, river basin, and state","Disaster Risk Management, Early Warning ",Situational awareness/actionable information gathering,production,preparedness,Web Mapping,Various,Global,Global,Global,World Resources Institute,None,Spatial Data,SDG 13,2015,https://www.wri.org/data/aqueduct-global-flood-risk-maps,https://www.wri.org/sites/default/files/wri-40-anniversary-logo.svg
186,Aqueduct Global Flood Risk Maps,"Web Mapping provides current and future river flood risk estimates in urban damage, affected GDP, and affected population by country, river basin, and state","Disaster Risk Management, Early Warning ",Situational awareness/actionable information gathering,production,response,Web Mapping,Various,Global,Global,Global,World Resources Institute,None,Spatial Data,SDG 13,2016,https://www.wri.org/data/aqueduct-global-flood-risk-maps,https://www.wri.org/sites/default/files/wri-40-anniversary-logo.svg
187,Aqueduct Global Flood Risk Maps,"Web Mapping provides current and future river flood risk estimates in urban damage, affected GDP, and affected population by country, river basin, and state","Disaster Risk Management, Early Warning ",Situational awareness/actionable information gathering,production,mitigation,Web Mapping,Various,Global,Global,Global,World Resources Institute,None,Spatial Data,SDG 13,2017,https://www.wri.org/data/aqueduct-global-flood-risk-maps,https://www.wri.org/sites/default/files/wri-40-anniversary-logo.svg
188,Aqueduct Global Flood Risk Maps,"Web Mapping provides current and future river flood risk estimates in urban damage, affected GDP, and affected population by country, river basin, and state","Disaster Risk Management, Early Warning ",Situational awareness/actionable information gathering,production,recovery,Web Mapping,Floods,Global,Global,Global,World Resources Institute,None,Spatial Data,SDG 13,2018,https://www.wri.org/data/aqueduct-global-flood-risk-maps,https://www.wri.org/sites/default/files/wri-40-anniversary-logo.svg
189,Bioshi,"Monitoring and warning system against illegal logging. Captures the deforestation rate by satellite images, together with acoustic sensors to identify events that threaten the ecosystem","Climate, Disaster Risk Reduction",Situational awareness/actionable information gathering,prototype,preparedness,Geographical Information Systems,Floods,Americas,Central America,Panama,NASA,None,"Spatial Data, Sensor Data",SDG 15,2021,https://bit.ly/simact-bioshi,"https://static.wixstatic.com/media/5e609a_04a87deb42be4243b65bad54d0a87a04~mv2.jpg/v1/fill/w_460,h_295,fp_0.50_0.50,q_90,enc_auto/5e609a_04a87deb42be4243b65bad54d0a87a04~mv2.jpg"
190,Bioshi,"Monitoring and warning system against illegal logging. Captures the deforestation rate by satellite images, together with acoustic sensors to identify events that threaten the ecosystem","Climate, Disaster Risk Reduction",Situational awareness/actionable information gathering,prototype,mitigation,Geographical Information Systems,Floods,Americas,Central America,Panama,NASA,None,"Spatial Data, Sensor Data",SDG 15,2021,https://bit.ly/simact-bioshi,"https://static.wixstatic.com/media/5e609a_04a87deb42be4243b65bad54d0a87a04~mv2.jpg/v1/fill/w_460,h_295,fp_0.50_0.50,q_90,enc_auto/5e609a_04a87deb42be4243b65bad54d0a87a04~mv2.jpg"
191,D.U.Q. Method,Analysis system to to measure the impact of decisions on forest fires,Disaster Risk Management,Disaster Relief logistic/resource allocation ,prototype,preparedness,"Geographical Information Systems, Data Collection, Data Analysis",Wildfires,Americas,South America,Argentina,NASA,None,Spatial Data,SDG 15,2021,https://github.com/Maximiliano-Sotar/NASA-SPACE-APPS,https://upload.wikimedia.org/wikipedia/commons/a/a0/Space_Apps_Logo_White.png
192,D.U.Q. Method,Analysis system to to measure the impact of decisions on forest fires,Disaster Risk Management,Disaster Relief logistic/resource allocation ,prototype,response,"Geographical Information Systems, Data Collection, Data Analysis",Wildfires,Americas,South America,Argentina,NASA,None,Spatial Data,SDG 15,2022,https://github.com/Maximiliano-Sotar/NASA-SPACE-APPS,https://upload.wikimedia.org/wikipedia/commons/a/a0/Space_Apps_Logo_White.png
193,D.U.Q. Method,Analysis system to to measure the impact of decisions on forest fires,Disaster Risk Management,Disaster Relief logistic/resource allocation ,prototype,mitigation,"Geographical Information Systems, Data Collection, Data Analysis",Wildfires,Americas,South America,Argentina,NASA,None,Spatial Data,SDG 15,2023,https://github.com/Maximiliano-Sotar/NASA-SPACE-APPS,https://upload.wikimedia.org/wikipedia/commons/a/a0/Space_Apps_Logo_White.png
194,D.U.Q. Method,Analysis system to to measure the impact of decisions on forest fires,Disaster Risk Management,Disaster Relief logistic/resource allocation ,prototype,recovery,"Geographical Information Systems, Data Collection, Data Analysis",Wildfires,Americas,South America,Argentina,NASA,None,Spatial Data,SDG 15,2024,https://github.com/Maximiliano-Sotar/NASA-SPACE-APPS,https://upload.wikimedia.org/wikipedia/commons/a/a0/Space_Apps_Logo_White.png
195,NOAA Climate,"Provides scientific data and information about climate science, adaptation, and mitigation",Disaster Risk Management,Situational awareness/actionable information gathering,production,preparedness,"Geographical Information Systems, Data Collection, Data Analysis",Various,Americas,Northern America,United States of America,"Climate Program Office, the National Centers for Environmental Information, the Coastal Services Center, and the Climate Prediction Center",None,Spatial Data,SDG 13,2021,https://www.climate.gov/,https://www.climate.gov/sites/default/files/2022-10/US_outlook_October2022_precipitation_20221001.png
196,Ushahidi Platform,Mapping platform for crowdsource information and reports of crises,Disaster Risk Management,Disaster Relief logistic/resource allocation ,production,preparedness,"Artificial Intelligence, Geographical Information Systems",Various,Global,Global,Global,"Bylo Chacon, Ford, Google",None,User Data,SDG 3,2008,https://www.ushahidi.com/,https://www.ushahidi.com/images/images/home-platform-devices.png?_cchid=36ada5fdd05b255880ff4d1392d3f79f
197,Ushahidi Platform,Mapping platform for crowdsource information and reports of crises,Disaster Risk Management,Disaster Relief logistic/resource allocation ,production,response,"Artificial Intelligence, Geographical Information Systems",Various,Global,Global,Global,"Bylo Chacon, Ford, Google",None,User Data,SDG 3,2009,https://www.ushahidi.com/,https://www.ushahidi.com/images/images/home-platform-devices.png?_cchid=36ada5fdd05b255880ff4d1392d3f79f
198,Ushahidi Platform,Mapping platform for crowdsource information and reports of crises,Disaster Risk Management,Disaster Relief logistic/resource allocation ,production,mitigation,"Artificial Intelligence, Geographical Information Systems",Various,Global,Global,Global,"Bylo Chacon, Ford, Google",None,User Data,SDG 3,2010,https://www.ushahidi.com/,https://www.ushahidi.com/images/images/home-platform-devices.png?_cchid=36ada5fdd05b255880ff4d1392d3f79f
199,Ushahidi Platform,Mapping platform for crowdsource information and reports of crises,Disaster Risk Management,Disaster Relief logistic/resource allocation ,production,recovery,"Artificial Intelligence, Geographical Information Systems",Various,Global,Global,Global,"Bylo Chacon, Ford, Google",None,User Data,SDG 3,2011,https://www.ushahidi.com/,https://www.ushahidi.com/images/images/home-platform-devices.png?_cchid=36ada5fdd05b255880ff4d1392d3f79f
200,WG5 Geo-AI,Interface that maps refugee camps and automatically derive locations and numbers of dwellings; automate the production of flood maps; automate damage and events detection over large geographic areas of interest,Disaster Risk Management,Situational awareness/actionable information gathering,validation,preparedness,"Artificial Intelligence, Computer Vision, Data Collection",Various,Global,Global,Global,"UN Open GIS Initiative, UN Global Pulse, FAO and Politecnico di Milano",UN Open GIS Initiative,Spatial Data,"SDG 13, SDG 16",2020,http://unopengis.org/unopengis/pages/page01.php,https://lh3.googleusercontent.com/arfnQTkOmz2y7QskoxyiU6Do8Z8LApTYgFCAkSQyx7rbJWQdlXlUQKZIPMJFPbBWZj2VZK9gKBoOVm6HdPZ8YiupM1eC8l6iSKKDIzcHMmFiHCVhfTaNsWzo0fYGbjJCekVvSlRY
201,WG5 Geo-AI,Interface that maps refugee camps and automatically derive locations and numbers of dwellings; automate the production of flood maps; automate damage and events detection over large geographic areas of interest,Disaster Risk Management,Situational awareness/actionable information gathering,validation,response,"Artificial Intelligence, Computer Vision, Data Collection",Various,Global,Global,Global,"UN Open GIS Initiative, UN Global Pulse, FAO and Politecnico di Milano",UN Open GIS Initiative,Spatial Data,"SDG 13, SDG 16",2021,http://unopengis.org/unopengis/pages/page01.php,https://lh3.googleusercontent.com/arfnQTkOmz2y7QskoxyiU6Do8Z8LApTYgFCAkSQyx7rbJWQdlXlUQKZIPMJFPbBWZj2VZK9gKBoOVm6HdPZ8YiupM1eC8l6iSKKDIzcHMmFiHCVhfTaNsWzo0fYGbjJCekVvSlRY
202,WG5 Geo-AI,Interface that maps refugee camps and automatically derive locations and numbers of dwellings; automate the production of flood maps; automate damage and events detection over large geographic areas of interest,Disaster Risk Management,Situational awareness/actionable information gathering,validation,mitigation,"Artificial Intelligence, Computer Vision, Data Collection",Various,Global,Global,Global,"UN Open GIS Initiative, UN Global Pulse, FAO and Politecnico di Milano",UN Open GIS Initiative,Spatial Data,"SDG 13, SDG 16",2022,http://unopengis.org/unopengis/pages/page01.php,https://lh3.googleusercontent.com/arfnQTkOmz2y7QskoxyiU6Do8Z8LApTYgFCAkSQyx7rbJWQdlXlUQKZIPMJFPbBWZj2VZK9gKBoOVm6HdPZ8YiupM1eC8l6iSKKDIzcHMmFiHCVhfTaNsWzo0fYGbjJCekVvSlRY
203,WG5 Geo-AI,Interface that maps refugee camps and automatically derive locations and numbers of dwellings; automate the production of flood maps; automate damage and events detection over large geographic areas of interest,Disaster Risk Management,Situational awareness/actionable information gathering,validation,recovery,"Artificial Intelligence, Computer Vision, Data Collection",Various,Global,Global,Global,"UN Open GIS Initiative, UN Global Pulse, FAO and Politecnico di Milano",UN Open GIS Initiative,Spatial Data,"SDG 13, SDG 16",2023,http://unopengis.org/unopengis/pages/page01.php,https://lh3.googleusercontent.com/arfnQTkOmz2y7QskoxyiU6Do8Z8LApTYgFCAkSQyx7rbJWQdlXlUQKZIPMJFPbBWZj2VZK9gKBoOVm6HdPZ8YiupM1eC8l6iSKKDIzcHMmFiHCVhfTaNsWzo0fYGbjJCekVvSlRY
204,Monsoon Overflow,"The mobile app collects data including geotagged image from the public, about critical infrastructure damage caused due to flood; assesses the extent of damage in Critical Infrastructure using satellite pre flood and during/post flood images",Disaster Management,Damage and loss assessment,prototype,response,Mobile App,Floods,Global,Global,Global,NASA,None,"Spatial Data, User Data",SDG 3,2020,https://pranavspandya.users.earthengine.app/view/sentinel-flood-damage-assessement,https://upload.wikimedia.org/wikipedia/commons/a/a0/Space_Apps_Logo_White.png
